Grantor,Grantee,grantee_clean,Zip Code,Fiscal Year,Amount,Description,Category,Fiscal Period,Date
Department of Housing and Community Development/Core Strategic Demolition Baltimore City,Episcopal Housing Corp,Episcopal Housing Corp,21093,2017,675000,Core Strategic Demolition Baltimore City,Loan,1,06/30/2017 12:00:00 AM
Judiciary/Department of Family Administration,Maryland Court Appointed Special Advocate (CASA) Association,Maryland Court Appointed Special Advocate (casa) Association,21204,2011,59340.37,Advocacy for children in Foster Care,Grant,1,06/30/2011 12:00:00 AM
Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund,Anacostia Watershed Society,Anacostia Watershed Society,20710,2016,528716.1,"Payments made for the implementation of nonpoint source pollution reduction best management practices, including stormwater management, stream restoration, wetland creation, and tree planting activities.",Grant,1,06/30/2016 12:00:00 AM
Maryland Energy Administration/SEN - Save Energy Now Program,SRA (formerly SENTECH),Sra (formerly Sentech),20852-3823,2014,67834.2,Federal cgrant for energy efficiency,Grant,1,06/30/2014 12:00:00 AM
GAP Investment Fund,MaxSalePrice Inc.,Maxsaleprice Inc.,20854,2018,499995.04,Commercialization Investment,Loan,1,06/30/2018 12:00:00 AM
Governor's Office of Crime Control and Prevention,"TurnAround, Inc. (Baltimore County)","Turnaround, Inc. (baltimore County)",21286,2018,132597.35,Domestic Violence Prevention,Grant,1,06/30/2018 12:00:00 AM
Boards and Commissions/Children's Justice Act Committee,"Court Appointed Special Advocate (CASA) - Prince George's County, Inc.","Court Appointed Special Advocate (casa) - Prince George's County, Inc.",20782,2013,57355.1,Training Support,Grant,1,06/30/2013 12:00:00 AM
Military Department/Maryland Emergency Management Agency,HOLY CROSS HOSPITAL Total,Holy Cross Hospital Total,20705,2011,50856.31,Disaster Assistance,Grant,1,06/30/2011 12:00:00 AM
Maryland Department of Planning/MDP- Heritage Areas Authority,Canal Place Preservation & Development Authority,Canal Place Preservation & Development Authority,21502,2017,154500,"FY 2013, FY2014, FY 2016 & FY 2017 MHAA - Operating Assistance",Grant,1,06/30/2017 12:00:00 AM
Department Of Business and Economic Development/Maryland State Arts Council,THE WALTERS ART MUSEUM,The Walters Art Museum,21201-5185,2014,894208,MD State Arts Council Grants for Organizations (Operating support),Grant,1,06/30/2014 12:00:00 AM
Maryland Energy Administration/MEEHA - Multifamily,Riverfront Townhomes,Riverfront Townhomes,21090-2239,2012,314661,Building Retrofits,Grant,1,06/30/2012 12:00:00 AM
Aid to Non Public Institutions,St John's College,St. John's College,21404-2800,2018,631708,Sellinger Formula Aid,Grant,1,06/30/2018 12:00:00 AM
Maryland Department of Education/FOOD SERVICES PROGRAM,BLOOMBERG CHILDREN'S CTR-8470/JHH,Bloomberg Children's Ctr-8470/jhh,21287-1454,2013,6389,CASH FOR COMMOD - CHILD CARE,Grant,1,06/30/2013 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,"Baltimore Child Abuse Center, Inc.","Baltimore Child Abuse Center, Inc.",21218,2015,33208,Children's Justice Act Committee,Grant,1,06/30/2015 12:00:00 AM
MARYLAND TECHNOLOGY DEVELOPMENT CORPORATION/BUILDER FUND,JUNEBRAIN INC,Junebrain Inc,20850,2020,50000,BUILDER FUND COMMERCIALIZATION INVESTMENT,Loan,1,06/30/2020 12:00:00 AM
Department Of Business and Economic Development/Military Personnel & Service-Disabled Veteran No Interest Loan Pgm,MONKEY KATE AND DAVES LLC,Monkey Kate And Daves Llc,20754,2013,50000,Military Personnel & Service-Disabled Veteran No Interest Loan Pgm,L,1,06/30/2013 12:00:00 AM
Maryland Energy Administration - CIF BGE SBEA Exelon,Baltimore Gas and Electric,Baltimore Gas And Electric,21201 - 0000,2015,112500,Energy efficiency grants for Small Business Energy Solutions Program,Grant,1,06/30/2015 12:00:00 AM
DIVISION OF EARLY CHILDHOOD DEVELOPMENT,WESTED/PUBLICATIONS,Wested/publications,94107,2018,1413944,ENHANCED ASSESSMENT INSTRUMENTS - KINDERGARTEN,Grant,1,06/30/2018 12:00:00 AM
Department of Agriculture/COVER CROP,HANS ASMUSSEN & SONS INC,Hans Asmussen & Sons Inc,21673,2014,72829.5,Cover Crop Program Grant,Grant,1,06/30/2014 12:00:00 AM
Department of Health and Mental Hygiene/Prevention and Health Promotion Administration,Greater Baden Medical Center,Greater Baden Medical Center,20772,2014,150000,Family Planning Expansion,Grant,1,06/30/2014 12:00:00 AM
Department of Housing and Community Development/Foreclosure Mediation,Asian-American Homeowners Counseling Inc.,Asian-american Homeowners Counseling Inc.,20852,2016,90566,Foreclosure Mediation,Grant,1,06/30/2016 12:00:00 AM
Department of Agriculture/MARBICO,MARYLAND AGRIC AND RESOURCE BASED IND DEVEL CORP,Maryland Agric And Resource Based Ind Devel Corp,21403,2013,2875000,MARBICO-in code-funding,Grant,1,06/30/2013 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,"House of Ruth Maryland, Inc.","House Of Ruth Maryland, Inc.",21218,2017,148863,Violence Against Women,Grant,1,06/30/2017 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,"Legal Aid Bureau, Inc., Main Headquarters","Legal Aid Bureau, Inc., Main Headquarters",21202,2017,41454,Violence Against Women,Grant,1,06/30/2017 12:00:00 AM
Department of Housing and Community Development/Neighborhood Business Development,Maryland Capital Enterprises,Maryland Capital Enterprises,21802,2011,50000,technical assistance grant,Grant,1,06/30/2011 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,"For All Seasons, Inc.","For All Seasons, Inc.",21601,2017,5505,Reimbursable funds from DHMH for SARC - Rape Crisis Intervention,Grant,1,06/30/2017 12:00:00 AM
Department of Transportation/Washington Metropolitan Area Transit - Operating,Washington Suburban Transit,Washington Suburban Transit,20785,2009,210353988,agreement with Washington Suburban Transit Commission (WMATA),Grant,1,06/30/2009 12:00:00 AM
Department of Business and Economic Development/Maryland Tourism Development Board,VISIT BALTIMORE,Visit Baltimore,21202,2011,369021,Cooperative Marketing Grant Program,Grant,1,06/30/2011 12:00:00 AM
Governor's Office of Crime Control and Prevention,University of Maryland Prince George's Hospital Center (Dimensions Health Corporation),University Of Maryland Prince George's Hospital Center (dimensions Health Corporation),20785,2018,173429.66,Sexual Assault Rape Crisis,Grant,1,06/30/2018 12:00:00 AM
Department of Health and Mental Hygiene/Prevention and Health Promotion Administration,"Baltimore Substance Abuse Systems, Inc.","Baltimore Substance Abuse Systems, Inc.",21201,2013,136250,Infectious Disease Screenings in SA Treatment,Grant,1,06/30/2013 12:00:00 AM
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention","House of Ruth Maryland, Inc.","House Of Ruth Maryland, Inc.",21218,2016,466836.98,Victims of Crime Act,Grant,1,06/30/2016 12:00:00 AM
Department of Human Resources/Family Investment Administration & Maryland Office of Refugees and Asylees,LUTHERAN SOCIAL SERVICES OF NATIONAL CAPITAL AREA,Lutheran Social Services Of National Capital Area,20011,2016,207125.09,Funds are used to provide to help highly-skilled (bachelor's Degree or Higher) refugees and asylees to establish careers in their field of expertise.,Grant,1,06/30/2016 12:00:00 AM
Maryland State Department of Education - Science & Math Education Initiative,Frederick Co Public Schools,Frederick Co Public Schools,21702 - 3006,2015,59133,SCIENCE/MATH EDUCATION,Grant,1,06/30/2015 12:00:00 AM
Department of Agriculture/Maryland Agricultural Cost Share (Capital - Bonds),"WRIGHT, TIMOTHY","Wright, Timothy",21837,2009,35000,Install Best Mgmt Practice (BMP) on Farm,Grant,1,06/30/2009 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,"Heartly House, Inc.","Heartly House, Inc.",21705,2017,333531,VOCA Victim Assistance Formula Grant Program,Grant,1,06/30/2017 12:00:00 AM
Department of Health and Mental Hygiene/Prevention & Health Promotion Administration,Maryland Partnership for Prevention,Maryland Partnership For Prevention,21117,2016,163520,Center for Immunization,Grant,1,06/30/2016 12:00:00 AM
Department of Human Resources/Work Opportunities Program,Garrett County Community Action Committee,Garrett County Community Action Committee,21550,2009,122305,"Funds are used to assist employed TCA or TCA-eligible customers with purchasing affordable transportation, enabling them to obtain/retain employment and become increasingly self-sufficient.",Grant,1,06/30/2009 12:00:00 AM
Department of Aging/Congregate Housing,"Associated Catholic Charities, Inc.","Associated Catholic Charities, Inc.",21093,2013,400000,Congregate Housing Services,Grant,1,06/30/2013 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,"CREEKBOUND FARMS, LLC","Creekbound Farms, Llc",21740-1404,2011,86774,MANURE TRANSPORT,Grant,1,06/30/2011 12:00:00 AM
Department of Juvenile and Family Services,"YWCA of Annapolis & Anne Arundel County, Inc.","Ywca Of Annapolis & Anne Arundel County, Inc.",21012,2018,148240,Legal services for victims of domestic violence,Grant,1,06/30/2018 12:00:00 AM
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention",Prince George's General Hospital (Dimensions Healthcare System),Prince George's General Hospital (dimensions Healthcare System),20785,2016,21162.83,Maryland Victims of Crime,Grant,1,06/30/2016 12:00:00 AM
Access to Justice,Pro Bono Resource Center of Maryland,Pro Bono Resource Center Of Maryland,21201,2018,64739,Tenant Volunteer Lawyer of the Day Program - Baltimore City,Grant,1,06/30/2018 12:00:00 AM
Department of Business and Economic Development - MD Small Business Development Financing Authority (MSBDFA),FlightFab INC,"Flightfab, Inc.",21244,2015,22000,MSBDFA Contract Finance - Line of Credit,Loan,1,06/30/2015 12:00:00 AM
Military Department - Maryland Military Dept. MEMA,Havre De Grace Ambulance Service,Havre De Grace Ambulance Service,21078,2015,84925,VOLUNTEER COMPANY ASSISTANCE FUND,Loan,1,06/30/2015 12:00:00 AM
Governor's Office of Crime Control and Prevention,"Heartly House, Inc.","Heartly House, Inc.",21705,2018,6237.1,Maryland Safe Streets,Grant,1,06/30/2018 12:00:00 AM
Department of Agriculture - Conservation Grants,Newark Grain Inc,"Newark Grain, Inc.",21811 - 2941,2015,109007.5,COVER CROP,Grant,1,06/30/2015 12:00:00 AM
Department of Business and Economic Development/Maryland State Arts Council,Interact Story Theatre,Interact Story Theatre,20905,2009,170795,AIE Grants,Grant,1,06/30/2009 12:00:00 AM
Department of The Environment/Chesapeake-Coastal Non-Point Source Fund,Spa Creek Conservancy Inc.,Spa Creek Conservancy Inc.,21204,2014,368232,Chesapeake-Coastal Non-Point Source Fund,Grant,1,06/30/2014 12:00:00 AM
Department Of Business and Economic Development/Office of Business Development,ECONOMIC ALLIANCE OF GREATER BALTIMORE FOUNDATION,Economic Alliance Of Greater Baltimore Foundation,21202,2013,85000,"Grantee unites business, government and educational institutions to market Greater Baltimore as a highly desirable region for new and expanded business and investment.",Grant,1,06/30/2013 12:00:00 AM
Department of Health & Mental Hygiene/Deputy Secretary for Public Health Services,Mid-Atlantic Association of Community Health Centers,Mid-atlantic Association Of Community Health Centers,20706,2010,300000,H1N1 Planning & Response,Grant,1,06/30/2010 12:00:00 AM
Maryland Department of Education/DIVISION OF REHABILITATION SERVICES- HQ,SOUTHERN MD CTR FOR INDEPENDENT LIVING INC,Southern Md Ctr For Independent Living Inc,20659,2014,191367,OPERATIONS AND ASSISTIVE TECH GRANT,Grant,1,06/30/2014 12:00:00 AM
MDP- Heritage Areas Authority,"Lower Susquehanna Heritage Greenway, Incorporated","Lower Susquehanna Heritage Greenway, Incorporated",21034,2018,100000,"FY2017 & FY2018 Maryland Heritage Areas Authority (MHAA) - Operating assistance to support staff salaries, operation costs, and general overhead expenses to implement the approved heritage areas management plan.",Grant,1,06/30/2018 12:00:00 AM
Judiciary/Department of Family Administration,Women's Law Center - Baltimore City,Women's Law Center - Baltimore City,21204,2009,115255,Legal services for victims of domestic violence,Grant,1,06/30/2009 12:00:00 AM
Department of Transportation/SECTION SSTAP,TRI COUNTY COUNCIL LOWER EASTERN SHORE MD,Tri County Council Lower Eastern Shore Md,21804-1710,2016,269015,Locally-Operated Transit Systems- OPERATING,Grant,1,06/30/2016 12:00:00 AM
Pilot Animal Waste to Energy Grant,"Planet Found Energy Development, LLC","Planet Found Energy Development, Llc",21851,2018,88651.6,Grants to entities focused on anaerobic digestion to process animal litter and convert it to energy and useful byproducts.,Grant,1,06/30/2018 12:00:00 AM
Department of Agriculture/COVER CROP,KEITH LEAVERTON,Keith Leaverton,21673,2014,98581.5,Cover Crop Program Grant,Grant,1,06/30/2014 12:00:00 AM
Maryland Department of Education/Food Services Program,FAMILY LEAGUE OF BALTIMORE CITY INC,"Family League Of Baltimore City, Inc.",21218-5128,2012,14487.46,PROGRAM ADMIN - SUMMER,Grant,1,06/30/2012 12:00:00 AM
Maryland Energy Administration/EE L&M Income Community Grants,Friends of Cedar Lane/St. Mary's Home for the Elderly,Friends Of Cedar Lane/st. Mary's Home For The Elderly,20650-3928,2013,50000,Energy Efficiency Upgrades,Grant,1,06/30/2013 12:00:00 AM
Department of Housing & Community Development/Maryland Affordable Housing Trust,"Crossroads Community, Inc.","Crossroads Community, Inc.",21617,2010,145950,construction of rental housing,Grant,1,06/30/2010 12:00:00 AM
Department of Transportation/Highway Safety Operating Program,WASHINGTON REGIONAL ALCOHOL PROGRAM,Washington Regional Alcohol Program,22102,2009,200000,Highway Safety Media Campaign High Visibility Enforcement,Grant,1,06/30/2009 12:00:00 AM
Department of Housing and Community Development/Housing Counseling - State Funds,Prince Georges Financial Srvs Corp,Prince Georges Financial Srvs Corp,20774,2012,200000,foreclosure/housing counseling activities,Grant,1,06/30/2012 12:00:00 AM
Maryland Energy Administration/CHP Resilience Grant Program,Piscataway Wastewater Treatment Plant CHP Project,Piscataway Wastewater Treatment Plant Chp Project,20607,2017,500000,Energy Efficiency grants for audits/upgrades in commercial and industrial sector,Grant,1,06/30/2017 12:00:00 AM
Judiciary/Mediation and Conflict Resolution Office,Center for Conflict Resolution at Salisbury University,Center For Conflict Resolution At Salisbury University,21801,2012,55000,Commmunity Mediation Performance-based funding at level 3.,Grant,1,06/30/2012 12:00:00 AM
Department Of Business and Economic Development/Maryland State Arts Council,"Baltimore Museum of Art, The",The Baltimore Museum Of Art,21218-3898,2013,790162,"Grantee will receive funding to support the operations and activities of the museum including exhibitions, lectures, educational programming, gallery talks, and special events as described in the grant application.",Grant,1,06/30/2013 12:00:00 AM
Maryland Energy Administration/Lawton Conservation Loan Program,BMI,Bmi,21230-0000,2013,180000,Lawton Loan,Loan,1,06/30/2013 12:00:00 AM
Department of Transportation/Facilities & Capital Equipment,Greater Elkridge Community,Greater Elkridge Community,21078-8001,2009,104724,enhancements around BWI,Grant,1,06/30/2009 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,"GUY FARMS , INC.",Guy Farms Inc,21830,2011,55665,COVER CROP,Grant,1,06/30/2011 12:00:00 AM
Department of Natural Resources/STATE LAND ACQUISITION,Wright Constable & Skeen,Wright Constable & Skeen,21201,2012,326052.43,Frazee Res Mgt - Kasecamp Rd Prop Acq,Grant,1,06/30/2012 12:00:00 AM
Resource Conservation Grants,POPLAR HILL FARMS LLC,Poplar Hill Farms Llc,21613,2018,51920.5,COVER CROP,Grant,1,06/30/2018 12:00:00 AM
"Executive Department - Boards, Commissions and Offices/Governor's Office of Crime Control and Prevention",Northwest Hospital Center,Northwest Hospital Center,21133,2016,14074.22,Byrne Justice Assistance Grant,Grant,1,06/30/2016 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,Maryland Network Against Domestic Violence,Maryland Network Against Domestic Violence,20706,2015,115992.42,Violence Against Women,Grant,1,06/30/2015 12:00:00 AM
Maryland Higher Education Commission/Aid to Non Public Institutions,National Labor College,National Labor College,20903,2014,233874,Sellinger Formula Aid,Grant,1,06/30/2014 12:00:00 AM
Maryland Energy Administration/Commercial Renewable Grants,Soccer Dome LLC,Soccer Dome Llc,20794-9317,2013,50000,Solar,Grant,1,06/30/2013 12:00:00 AM
Maryland Department of Education/CHILDREN AT RISK,MENTORS OF MINORITIES IN EDUCATION INC,"Mentors Of Minorities In Education, Inc.",20903,2013,129444,21ST CENTURY COMMUNITY LEARNING CENTERS,Grant,1,06/30/2013 12:00:00 AM
Department of Human Resources/Office of Grants Management,"Baltimore Child Abuse Center, Inc.","Baltimore Child Abuse Center, Inc.",21218,2010,131886,Funds are used to provides services to victims of crime,Grant,1,06/30/2010 12:00:00 AM
Department of Agriculture/CONSERVATION GRANTS,"BIOMASS HEATING SOLUTIONS USA,INC","Biomass Heating Solutions Usa,inc",21401,2016,80449.68,"OTHER GRANTS, SUBS & CONTRIBUTION",Grant,1,06/30/2016 12:00:00 AM
Commerce/MD Small Business Development Financing Authority,KR CONTRACTING INC,Kr Contracting Inc,21740,2017,571983,MSBDFA Contract Finance - Line of Credit,Loan,1,06/30/2017 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,"Heartly House, Inc.","Heartly House, Inc.",21705,2015,43364.55,Violence Against Women,Grant,1,06/30/2015 12:00:00 AM
Department of Housing and Community Development/Maryland Affordable Housing Trust (MAHT),Chesapeake Habitat for Humanity,Chesapeake Habitat For Humanity,21211,2009,180000,rehab 20 housing units,Grant,1,06/30/2009 12:00:00 AM
Department of Business and Economic Development/Maryland State Arts Council,Queen Anne's County Arts Council,Queen Anne's County Arts Council,21617,2009,95992,grant funding for the support of the County Arts Councils,Grant,1,06/30/2009 12:00:00 AM
Department of Agriculture/MARKETING AND AGRICULTURE DEVELOPMENT,FINANCIAL SERVICES MGT. CORP,Financial Services Mgt. Corp,56253,2011,596608,FARMER'S MARKET COUPON PROGRAM,Grant,1,06/30/2011 12:00:00 AM
Governor's Office of Crime Control and Prevention,Behavioral Health System Baltimore,Behavioral Health System Baltimore,21201,2018,128188.5,Byrne - Justice Assistance Grant (JAG) Program,Grant,1,06/30/2018 12:00:00 AM
EMERGENCY SOLUTIONS GRANTS (ESG),PROLOGUE INC,Prologue Inc,21208,2018,85000,EMERGENCY SOLUTIONS GRANTS (ESG),Grant,1,06/30/2018 12:00:00 AM
Maryland Transit Administration/SECTION 5311 RURAL AREA A/SENIOR RIDE,ACTION IN MATURITY,Action In Maturity,21211,2017,53024.98,LOTS-OPERATING,Grant,1,06/30/2017 12:00:00 AM
Judiciary/Mediation and Conflict Resolution Office,Center for Alternative Dispute Resolution,Center For Alternative Dispute Resolution,21114,2010,58000,Grant to support the growth and expansion of the Center through a new Program Manager position.,Grant,1,06/30/2010 12:00:00 AM
Department of Transportation/Highway Safety Operating Program,MILLENIUM HEALTH,Millenium Health,21201,2009,86932,Various General Highway Safety Grants,Grant,1,06/30/2009 12:00:00 AM
Boards and Commissions - Governor's Office of Crime Control and Prevention,Family & Children's Services of Central MD,Family & Children's Services Of Central Md,21209,2015,567929.7,VOCA Victim Assistance Formula Grant Program,Grant,1,06/30/2015 12:00:00 AM
Department of Commerce - Maryland Technology Commercialization Fund,Autonomy Engine LLC,Autonomy Engine Llc,21104,2015,100000,Commercialization Investment,Loan,1,06/30/2015 12:00:00 AM
Office of Grants Management,BALTIMORE CHILD FIRST AUTHORITY INC,"Baltimore Child First Authority, Inc.",21215,2018,318496.49,Provides an afterschool community initiative for student activities.,Grant,1,06/30/2018 12:00:00 AM
Department of Natural Resources/Chesapeake & Atlantic Coastal Bays Trust Fund,Ridge to Reefs,Ridge To Reefs,21784,2017,143970,"Payments made for the implementation of nonpoint source pollution reduction best management practices, including stormwater management, stream restoration, wetland creation, and tree planting activities.",Grant,1,06/30/2017 12:00:00 AM
Governor's Office of Crime Control and Prevention,"Baltimore Child Abuse Center, Inc.","Baltimore Child Abuse Center, Inc.",21218,2018,1102166.25,Victims of Crime Act (VOCA) Victim Assistance Formula Grant Program,Grant,1,06/30/2018 12:00:00 AM
Department Of Business and Economic Development/MD Small Business Development Financing Authority (MSBDFA) -,LINWOOD C SCOTT JR INC DBA LCSJ COMMUNICATIONS,Linwood C Scott Jr Inc Dba Lcsj Communications,21202,2012,50000,"MSBDFA Contract Finance Line of Credit of $50,000 max",Loan,1,06/30/2012 12:00:00 AM
Department of Business & Economic Development/Office of Business Development,Economic Alliance of Greater Baltimore,Economic Alliance Of Greater Baltimore,21202,2010,73000.5,"Grantee unites business, government and educational institutions to market Greater Baltimore as a highly desirable region for new and expanded business and investment.",Grant,1,06/30/2010 12:00:00 AM
Maryland Department of Health/Prevention & Health Promotion Administration,Johns Hopkins University,Johns Hopkins University,21205,2017,289756,TB Consortium,Grant,1,06/30/2017 12:00:00 AM
Department of Housing and Community Development/Housing Counseling - State Funds,Civil Justice Inc.,"Civil Justice, Inc.",21201,2014,525553,Housing Operating Assistance Grants (OAG),Grant,1,06/30/2014 12:00:00 AM
Department of Human Resources/Office of Grants Management,"Child First Authority, Inc.","Child First Authority, Inc.",21211,2012,395418,Funds are used to provides an Afterschool Community Initiative for student activities.,Grant,1,06/30/2012 12:00:00 AM
Department of Agriculture - Conservation Grants,Belle Aire Farms Inc,"Belle Aire Farms, Inc.",21663,2015,70697,COVER CROP,Grant,1,06/30/2015 12:00:00 AM
Maryland Higher Education Commission/Aid to Non Public Institutions,Washington College,Washington College,21620,2013,1431808,Sellinger Formula Aid,Grant,1,06/30/2013 12:00:00 AM
Department Of Business and Economic Development/MD Biotechnology Center,SANARIA INC,Sanaria Inc,20850,2012,100000,Biotechnology Center Grant - Commercialization Grant,Grant,1,06/30/2012 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,Rape Crisis Intervention Service of Carroll County,Rape Crisis Intervention Service Of Carroll County,21158,2017,45128,VOCA Victim Assistance Formula Grant Program,Grant,1,06/30/2017 12:00:00 AM
Judiciary/Anne Arundel County Court Appointed Special Advocates (CASA),Anne Arundel County Court Appointed Special Advocates (CASA),Anne Arundel County Court Appointed Special Advocates (casa),21401,2010,96051.27,Advocacy for children in foster care,Grant,1,06/30/2010 12:00:00 AM
Boards and Commissions/Governor's Office of Crime Control and Prevention,Maryland Children's Alliance,Maryland Children's Alliance,21014,2009,50988.39,Enhanced Services - Child Advocacy Centers,Grant,1,06/30/2009 12:00:00 AM
Department of Agriculture/Conservation Grants,Paul T Swann,Paul T. Swann,21601-6465,2009,49445,Cover Crop,Grant,1,06/30/2009 12:00:00 AM
Maryland Department of Aging/Naturally Occurring Retirement Communities (NORC) Grant (Coming Of Age),Jewish Social Services Agency,Jewish Social Services Agency,21215,2019,199902,Naturally Occurring Retirement Communities,Grant,1,06/30/2019 12:00:00 AM
MARYLAND DEPARTMENT OF AGRICULTURE/RESOURCE CONSERVATION GRANTS,LEASE BROTHERS INC,"Lease Brothers, Inc.",21776,2020,51728,COVER CROP,Grant,1,06/30/2020 12:00:00 AM
Department of Planning/MDP - Maryland Heritage Areas Authority,"Historic Annapolis, Inc.","Historic Annapolis, Inc.",21401,2014,50250,"FY 2012 Funding is to create a traveling exhibition entitled ""Freedom Bound:  Runaways of the Chesapeake. FY 2013 funding is to: (1) implement ""Freedom Bound: Runaways of the Chesapeake"" and (2) to renovate and reopen historic Waterfront Warehouse. FY 2014 funding is to carry out a renovation of 1 Martin Street building.",Grant,1,06/30/2014 12:00:00 AM
Department of Business and Economic Development - Maryland State Arts Council,Kent County Arts Council Inc,Kent County Arts Council Inc,21620,2015,91228,MD State Arts Council Community Arts Development Grant,Grant,1,06/30/2015 12:00:00 AM
Department of Aging/Naturally Occurring Retirement Communities,The Jewish Federation of Greater Washington,The Jewish Federation Of Greater Washington,20852,2012,168750,Supportive Svs. For Adults in NORCs,Grant,1,06/30/2012 12:00:00 AM
Department of Housing and Community Development/Ellicott City Catastrophic Event,Tiber Crossing Partnership,Tiber Crossing Partnership,21043,2017,728000,Ellicott City Catastrophic Event,Loan,1,06/30/2017 12:00:00 AM
DEPARTMENT OF COMMERCE/MARYLAND STATE ARTS COUNCIL,WATERFOWL FESTIVAL INC,"Waterfowl Festival, Inc.",21601,2020,63896,MD STATE ARTS COUNCIL GRANTS FOR ORGANIZATIONS (OPERATING SUPPORT),Grant,1,06/30/2020 12:00:00 AM
Judiciary/Mediation and Conflict Resolution Office,Community Mediation Center of Calvert County,Community Mediation Center Of Calvert County,20688,2016,65000,"Community Mediation Performance Funding at Level 3 for the purpose of operating the center according to the 10-point model of community mediation. Funds to support a 40-hour Basic Mediation Training in Transformative Style for the community mediation centers in Calvert and St. Mary's County, and Support for the center to develop new promotional materials, as well as purchasing equipment to increase the efficiency of the center as it provides community mediation services.",Grant,1,06/30/2016 12:00:00 AM
Department of Agriculture/MD Agricultural Fair Board Grants,MARYLAND STATE FAIR,Maryland State Fair,210930188,2017,565983,Grants To Non-Gov Entities,Grant,1,06/30/2017 12:00:00 AM
Department of Agriculture/Resource Conservation Grants,HOWARD SOIL CONSERVATION DIST,Howard Soil Conservation Dist,21723,2017,124768,Rent For State Employees,Grant,1,06/30/2017 12:00:00 AM
Department of Agriculture/Conservation Grants PAYGO Capital,"WRIGHT, DONALD","Wright, Donald",21629,2009,23316.07,Install Best Mgmt Practice (BMP) on Farm,Grant,1,06/30/2009 12:00:00 AM
Department of Business and Economic Development/Maryland State Arts Council,HOWARD COUNTY CENTER FOR THE ARTS,Howard County Center For The Arts,21043,2011,94630,Community Arts Development Grant,Grant,1,06/30/2011 12:00:00 AM
Maryland Energy Administration/EE L&M Income Community Grants,Howard County Housing Commission,Howard County Housing Commission,21046-2164,2013,70000,Energy Efficiency Upgrades,Grant,1,06/30/2013 12:00:00 AM
Maryland State Department of Education - State Aided Educational Institutions,BBBS of the Greater Chesapeake Inc,Bbbs Of The Greater Chesapeake Inc,21211,2015,76036,STATE MENTORING RESOURCE CENTER,Grant,1,06/30/2015 12:00:00 AM
"Military Department/MARYLAND MILITARY DEPT, MEMA",FRIENDSVILLE VF&RS,Friendsville Vf&rs,21531,2013,142772.25,VOLUNTEER CO. ASSISTANCE PROGRAM,Loan,1,06/30/2013 12:00:00 AM
Department of Agriculture/Resource Conservation Capital Grants,MICHAEL D MARTZ,Michael D Martz,217131826,2017,58853.13,"Other Grants, Subs & Contribution",Grant,1,06/30/2017 12:00:00 AM
Department Of Business and Economic Development/MD Economic Development Assistance Authority & Fund-MEDAAF,CANTON CROSSING LLC,Canton Crossing Llc,21224,2013,891744.73,Brownfields Revitalization Program,Grant,1,06/30/2013 12:00:00 AM
Department of Business and Economic Development/Maryland State Arts Council,NATL COUNCIL FOR THE TRADITIONAL ARTS,Natl Council For The Traditional Arts,20910,2011,51432,Grants to Arts Organizations,Grant,1,06/30/2011 12:00:00 AM
Department Of Business and Economic Development/Maryland Enterprise Investment Fund,BRAINSCOPE COMPANY INC,"Brainscope Company, Inc.",20814,2012,250000,Enterprise Fund Equity Investment,Loan,1,06/30/2012 12:00:00 AM
Maryland Department of Planning (MDP)- Heritage Areas Authority,"Anacostia Trails Heritage Area, Inc.","Anacostia Trails Heritage Area, Inc.",20781,2018,100000,"FY2017 & FY2018 Maryland Heritage Areas Authority (MHAA) - Operating Assistance Grants - Operating assistance to support staff salaries, operation costs and general overhead expenses to implement the approved heritage areas management plan.",Grant,1,06/30/2018 12:00:00 AM
Governor's Office of Crime Control and Prevention/Governor's Office of Crime Control and Prevention,Primary Care Coalition of Montgomery County,Primary Care Coalition Of Montgomery County,20910,2017,14513,Child Advocacy Centers,Grant,1,06/30/2017 12:00:00 AM
Department of Health and Mental Hygiene/Family Health Services & Primary Care,Coalition to End Childhood Lead Poisoning,Coalition To End Childhood Lead Poisoning,21224,2011,376364,Childhood Lead Screening & Asthma Outreach,Grant,1,06/30/2011 12:00:00 AM
Department of Agriculture/Maryland Agricultural Cost Share (Capital - Bonds),"HOLT, JACK","Holt, Jack",21649,2009,35000,Install Best Mgmt Practice (BMP) on Farm,Grant,1,06/30/2009 12:00:00 AM
